Station,Size_Class,Depth,Bin_Size,DNAperLiter,MassperLiter,ParticlesPerLiter
4.3,180,Surface,320,114.38282647584974,0.613746153846154,3274.789606277268
4.3,180,Oxy,320,42.15483870967742,1.09728,3139.1743112082067
4.3,180,Bottom,320,6.61439205955335,0.7391435483870966,2906.974009329737
5.1,1.2,Surface,3.8,20000,11.451428571428558,877191459.674279
5.1,1.2,Bottom,3.8,5500,21.09,505516222.5652967
5.1,5,Surface,15,1677.1825396825393,7.020105820105822,33670394.71778182
5.1,5,Bottom,15,NA,13.36583333333333,21615701.8665591
5.1,20,Surface,33,72.4891774891775,0.4534621212121208,822382.3043315957
5.1,20,Bottom,33,82.33333333333334,1.1185571428571428,586319.4884757549
5.1,53,Surface,127,180.5555555555556,0.44942857142857123,133748.59272915902
5.1,53,Bottom,127,33.91666666666667,0.5403156249999997,102651.15629558737
5.1,180,Surface,320,49.34889434889435,0.4600945945945946,6364.241299307818
5.1,180,Bottom,320,5.53875,0.5375999999999999,5357.787855506356
5.5,1.2,Surface,3.8,NA,14.328571428571433,963696174.5269934
5.5,1.2,Bottom,3.8,NA,19.064999999999994,423715966.7448742
5.5,5,Surface,15,1429.1666666666665,6.30352941176471,42749000.93629748
5.5,5,Bottom,15,210.80246913580245,6.135000000000001,21043419.722688217
5.5,20,Surface,33,NA,0.7961655172413796,1201672.8795450148
5.5,20,Bottom,33,0.9710909090909091,0.71295,660129.3572048071
5.5,53,Surface,127,171.0344827586207,0.7429488703923901,215729.19054097572
5.5,53,Bottom,127,129.6,1.2011999999999996,128012.1477484509
5.5,180,Surface,320,121.69117647058822,0.40616666666666684,11619.753531613916
5.5,180,Bottom,320,11.687500000000002,0.9568875,7595.686525473253
3.1,500,Bottom,500,11.007936507936508,0.2822857142857147,2812.674626975989
3.1,500,Surface,500,NA,0.0929090909090909,313.5526225582949
3.2,500,Bottom,500,17.528361344537814,0.4158095238095243,2160.7442376247272
3.2,500,Surface,500,2.16,0.2490000000000002,1400.917311506142
3.3,500,Bottom,500,39.79506172839506,1.330417283950617,790.40963258560555
3.3,500,Surface,500,47.352941176470594,0.4037647058823532,187.31988337137662
4.3,500,Oxy,500,117.3153846153846,1.2170499999999997,142.62754548525777
4.3,500,Bottom,500,11.77047146401985,0.5830000000000001,181.06454546374854
4.3,500,Surface,500,30.33119658119658,0.7495141700404855,145.56785387158584
5.1,500,Bottom,500,4.306640625,0.22110000000000002,328.0165093397
5.1,500,Surface,500,73.95577395577395,1.2444432432432428,360.6582134229684
5.5,500,Bottom,500,7.182500000000001,1.3946800000000001,517.6246323898116
5.5,500,Surface,500,9.825555555555555,0.46849047619047657,730.342560879061
3.1,0.2,Bottom,1,3037.5,NA,NA
3.1,0.2,Surface,1,3690.476190476191,NA,NA
3.2,0.2,Bottom,1,4647.058823529412,NA,NA
3.2,0.2,Surface,1,3624.9999999999995,NA,NA
3.3,0.2,Bottom,1,1839.2857142857142,NA,NA
3.3,0.2,Surface,1,NA,NA,NA
4.3,0.2,Oxy,1,3204.5454545454545,NA,NA
4.3,0.2,Bottom,1,1589.2857142857142,NA,NA
4.3,0.2,Surface,1,6875,NA,NA
5.1,0.2,Bottom,1,2962.5,NA,NA
5.1,0.2,Surface,1,5816.666666666667,NA,NA
5.5,0.2,Bottom,1,4354.8387096774195,NA,NA
5.5,0.2,Surface,1,NA,NA,NA
